"section"	"question"	"item"	"type"	"ID"	"description"
"Q0"	33	1	"item"	"Q033_01"	"I agree with the component and its subcomponent(s)."
"Q0"	33	2	"item"	"Q033_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	33	3	"item"	"Q033_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	33	4	"item"	"Q033_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	33	5	"item"	"Q033_05"	"I have no opinion."
"Q0"	34		"question"	"Q034"	"BCL - Public & Private Clouds"
"Q0"	34	1	"item"	"Q034_01"	"I agree with the component and its subcomponent(s)."
"Q0"	34	2	"item"	"Q034_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	34	3	"item"	"Q034_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	34	4	"item"	"Q034_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	34	5	"item"	"Q034_05"	"I have no opinion."
"Q0"	38		"question"	"Q038"	"BCL - OES & OEM Backends"
"Q0"	38	1	"item"	"Q038_01"	"I agree with the component and its subcomponent(s)."
"Q0"	38	2	"item"	"Q038_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	38	3	"item"	"Q038_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	38	4	"item"	"Q038_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	38	5	"item"	"Q038_05"	"I have no opinion."
"Q0"	40		"question"	"Q040"	"Missing Backend & Cloud Components"
"Q0"	40	1	"item"	"Q040_01"	"Missing Backend & Cloud Layer Component(s)"
"Q0"	40	2	"item"	"Q040_02"	"Telematics Service Providers"
"Q0"	40	3	"item"	"Q040_03"	"Public & Private Clouds"
"Q0"	40	4	"item"	"Q040_04"	"OES & OEM Backends"
"Q0"	40	8	"item"	"Q040_08"	"Other Comments"
"Q0"	41		"question"	"Q041"	"Network Layer"
"Q0"	41	1	"item"	"Q041_01"	"I agree with the Network Layer components."
"Q0"	41	2	"item"	"Q041_02"	"I disagree with the Network Layer components because"
"Q0"	41	3	"item"	"Q041_03"	"I have no opinion."
"Q0"	42		"question"	"Q042"	"NL - Cellular Networks"
"Q0"	42	1	"item"	"Q042_01"	"I agree with the component and its subcomponent(s)."
"Q0"	42	2	"item"	"Q042_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	42	3	"item"	"Q042_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	42	4	"item"	"Q042_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	42	5	"item"	"Q042_05"	"I have no opinion."
"Q0"	43		"question"	"Q043"	"NL - Untrusted Networks"
"Q0"	43	1	"item"	"Q043_01"	"I agree with the component and its subcomponent(s)."
"Q0"	43	2	"item"	"Q043_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	43	3	"item"	"Q043_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	43	4	"item"	"Q043_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	43	5	"item"	"Q043_05"	"I have no opinion."
"Q0"	44		"question"	"Q044"	"NL - Physical Resource"
"Q0"	44	1	"item"	"Q044_01"	"I agree with the component and its subcomponent(s)."
"Q0"	44	2	"item"	"Q044_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	44	3	"item"	"Q044_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	44	4	"item"	"Q044_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	44	5	"item"	"Q044_05"	"I have no opinion."
"Q0"	45		"question"	"Q045"	"NL - Grid Infrastructure"
"Q0"	45	1	"item"	"Q045_01"	"I agree with the component and its subcomponent(s)."
"Q0"	45	2	"item"	"Q045_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	45	3	"item"	"Q045_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	45	4	"item"	"Q045_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	45	5	"item"	"Q045_05"	"I have no opinion."
"Q0"	46		"question"	"Q046"	"NL - Infrastructure Sensors"
"Q0"	46	1	"item"	"Q046_01"	"I agree with the component and its subcomponent(s)."
"Q0"	46	2	"item"	"Q046_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	46	3	"item"	"Q046_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	46	4	"item"	"Q046_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	46	5	"item"	"Q046_05"	"I have no opinion."
"Q0"	47		"question"	"Q047"	"NL - Trusted Networks"
"Q0"	47	1	"item"	"Q047_01"	"I agree with the component and its subcomponent(s)."
"Q0"	47	2	"item"	"Q047_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	47	3	"item"	"Q047_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	47	4	"item"	"Q047_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	47	5	"item"	"Q047_05"	"I have no opinion."
"Q0"	48		"question"	"Q048"	"NL - Satellite Communication"
"Q0"	48	1	"item"	"Q048_01"	"I agree with the component and its subcomponent(s)."
"Q0"	48	2	"item"	"Q048_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	48	3	"item"	"Q048_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	48	4	"item"	"Q048_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	48	5	"item"	"Q048_05"	"I have no opinion."
"Q0"	52		"question"	"Q052"	"Missing Network Components"
"Q0"	52	1	"item"	"Q052_01"	"Missing Network Layer Component(s)"
"Q0"	52	2	"item"	"Q052_02"	"Cellular Network"
"Q0"	52	3	"item"	"Q052_03"	"Untrusted Network"
"Q0"	52	4	"item"	"Q052_04"	"Physical Resource"
"Q0"	52	5	"item"	"Q052_05"	"Grid Infrastructure"
"Q0"	52	6	"item"	"Q052_06"	"Infrastructure Sensors"
"Q0"	52	7	"item"	"Q052_07"	"Trusted Networks"
"Q0"	52	8	"item"	"Q052_08"	"Satellite Communication"
"Q0"	52	12	"item"	"Q052_12"	"Other Comments"
"Q0"	53		"question"	"Q053"	"Cyberattack Mapping Validation"
"Q0"	54		"question"	"Q054"	"Missing Attack Vectors"
"Q0"	54	1	"item"	"Q054_01"	
"Q0"	55		"question"	"Q055"	"Missing Layer"
"Q0"	55	1	"item"	"Q055_01"	
"Q0"	56		"question"	"Q056"	"Feedback"
"Q0"	56	1	"item"	"Q056_01"	
"Q0"	57		"question"	"Q057"	"Thank You"
"Q0"	58		"question"	"Q058"	"text input"
"Q0"	58	1	"item"	"Q058_01"	
"Q0"	59		"question"	"Q059"	"Layer Alternative"
"Q0"	59	1	"item"	"Q059_01"	"Infotainment"
"Q0"	59	2	"item"	"Q059_02"	"Telematics"
"Q0"	59	3	"item"	"Q059_03"	"Central Unit"
"Q0"	59	4	"item"	"Q059_04"	"Communication Modules"
"Q0"	59	5	"item"	"Q059_05"	"Actuators"
"Q0"	59	6	"item"	"Q059_06"	"ECUs"
"Q0"	59	7	"item"	"Q059_07"	"OBD"
"Q0"	59	8	"item"	"Q059_08"	"Key"
"Q0"	59	9	"item"	"Q059_09"	"Bus Systems"
"Q0"	59	10	"item"	"Q059_10"	"Sensors"
"Q0"	59	11	"item"	"Q059_11"	"EDR"
"Q0"	59	12	"item"	"Q059_12"	"Wiring &"
"Q0"	59	13	"item"	"Q059_13"	"Power Distribution"
"Q0"	59	14	"item"	"Q059_14"	"ADAS"
"Q0"	59	15	"item"	"Q059_15"	"USB"
"Q0"	59	16	"item"	"Q059_16"	"Audio Connections"
"Q0"	59	17	"item"	"Q059_17"	"Engine Control Module"
"Q0"	59	18	"item"	"Q059_18"	"Missing Components:"
"Q0"	60		"question"	"Q060"	"Colour - Layer Alternative"
"Q0"	60	1	"item"	"Q060_01"	"Infotainment"
"Q0"	60	2	"item"	"Q060_02"	"Telematics"
"Q0"	60	3	"item"	"Q060_03"	"Central Unit"
"Q0"	60	4	"item"	"Q060_04"	"Communication Modules"
"Q0"	60	5	"item"	"Q060_05"	"Actuators"
"Q0"	60	6	"item"	"Q060_06"	"ECUs"
"Q0"	60	7	"item"	"Q060_07"	"OBD"
"Q0"	60	8	"item"	"Q060_08"	"Key"
"Q0"	60	9	"item"	"Q060_09"	"Bus Systems"
"Q0"	60	10	"item"	"Q060_10"	"Sensors"
"Q0"	60	11	"item"	"Q060_11"	"EDR"
"Q0"	60	12	"item"	"Q060_12"	"Wiring & Power Distribution"
"Q0"	60	13	"item"	"Q060_13"	"ADAS"
"Q0"	60	14	"item"	"Q060_14"	"USB"
"Q0"	60	15	"item"	"Q060_15"	"Audio Connections"
"Q0"	60	16	"item"	"Q060_16"	"Engine Control Module"
"P0"			"section"	"P0"	"Participant"
"P0"	1		"question"	"P001"	"Age"
"P0"	1	1	"item"	"P001_01"	"20 years and under"
"P0"	1	2	"item"	"P001_02"	"21 - 29 years"
"P0"	1	3	"item"	"P001_03"	"30 - 39 years"
"P0"	1	4	"item"	"P001_04"	"40 - 49 years"
"P0"	1	5	"item"	"P001_05"	"50 - 59 years"
"P0"	1	6	"item"	"P001_06"	"60 years and above"
"P0"	2		"question"	"P002"	"Experience"
"P0"	2	1	"item"	"P002_01"	"<1 year"
"P0"	2	2	"item"	"P002_02"	"1-4 years"
"P0"	2	3	"item"	"P002_03"	"4 years and above"
"P0"	3		"question"	"P003"	"Job"
"P0"	3	1	"item"	"P003_01"	
"P0"	9		"question"	"P009"	"Job + Experience"
"P0"	9	1	"item"	"P009_01"	
"P0"	4		"question"	"P004"	"Tools"
"P0"	4	2	"item"	"P004_02"	"Daily"
"P0"	4	3	"item"	"P004_03"	"Weekly"
"P0"	4	4	"item"	"P004_04"	"Monthly"
"P0"	4	5	"item"	"P004_05"	"A few times"
"P0"	4	6	"item"	"P004_06"	"Never"
"P0"	7		"question"	"P007"	"Daily"
"P0"	7	2	"item"	"P007_02"	"Daily"
"P0"	7	3	"item"	"P007_03"	"Weekly"
"P0"	7	4	"item"	"P007_04"	"Monthly"
"P0"	7	5	"item"	"P007_05"	"A few times"
"P0"	7	6	"item"	"P007_06"	"Never"
"P0"	5		"question"	"P005"	"ExperienceRole"
"P0"	5	1	"item"	"P005_01"	"SOC Analyst"
"P0"	5	2	"item"	"P005_02"	"Malware Analyst"
"P0"	5	3	"item"	"P005_03"	"Forensics Specialist"
"P0"	5	4	"item"	"P005_04"	"Detection Engineer"
"P0"	5	5	"item"	"P005_05"	"Security Engineer"
"P0"	5	6	"item"	"P005_06"	"SIEM Content Engineer"
"P0"	5	7	"item"	"P005_07"	"Threat Intelligence Analyst"
"P0"	5	8	"item"	"P005_08"	"Threat Hunter"
"P0"	5	9	"item"	"P005_09"	"Red Team Specialist"
"P0"	5	10	"item"	"P005_10"	"Incident Responder"
"P0"	5	11	"item"	"P005_11"	"Security Architect"
"P0"	5	12	"item"	"P005_12"	"Security Consultant"
"P0"	5	13	"item"	"P005_13"	"Chief Information Security Officer"
"P0"	5	14	"item"	"P005_14"	"SOC Manager"
"P0"	5	15	"item"	"P005_15"	"IT Compliance Manager"
"P0"	5	16	"item"	"P005_16"	"Incident and Crisis Manager"
"P0"	5	17	"item"	"P005_17"	"Vulnerability and Risk Manager"
"P0"	5	18	"item"	"P005_18"	"Security Researcher"
"P0"	5	19	"item"	"P005_19"	"Security Software Developer"
"P0"	5	20	"item"	"P005_20"	"AI Developer"
"P0"	5	21	"item"	"P005_21"	"Other"
"P0"	8		"question"	"P008"	"Demographics"
